ID,SCHOOL,CONFERENCE,CONFERENCE WEIGHT,ARENA LOCATION LAT,LON,ARENA NAME,ARENA CAPACITY,TEAM ABBREVIATION,ARENA OPENED,FULL NAME
253,Stanford,Pac 12,High,37.429646,-122.160528,Maples Pavilion,7392,,,Stanford Cardinal
254,UCLA,Pac 12,High,34.070211,-118.446775,Pauley Pavilion,13800,,,UCLA Bruins
255,Utah,Pac 12,High,40.7621,-111.8387,Jon M. Huntsman Center,15000,,1969,Utah Runnin' Utes
256,Washington,Pac 12,High,47.652,-122.302,Alaska Airlines Arena at Hec Edmundson Pavilion,10000,,1927,Washington Huskies
257,Washington State,Pac 12,High,46.735,-117.1575,Beasley Coliseum,11671,,1973,Washington State Cougars
258,Chaminade,Pacific West,Div II,21.289074,-157.807602,McCabe Gym,2500,,,Chaminade University Silverswords
259,American,Patriot,Low,38.937778,-77.09,Bender Arena,4500,,,American University Eagles
260,Army,Patriot,Low,41.38641,-73.96571,Christl Arena,5043,,,Army Black Knights
261,Boston University,Patriot,Low,42.353932,-71.120355,Case Gym,1800,,1972,Boston University Terriers
262,Bucknell,Patriot,Low,40.956964,-76.887093,Sojka Pavilion,4000,,,Bucknell Bison
263,Colgate,Patriot,Low,42.814957,-75.542754,Cotterell Court,3000,,,Colgate Raiders
264,Holy Cross,Patriot,Low,42.235046,-71.806381,Hart Center,3600,,,Holy Cross Crusaders
265,Lafayette,Patriot,Low,40.7019,-75.2107,Kirby Sports Center,3500,,,Lafayette Leopards
266,Lehigh,Patriot,Low,40.584444,-75.356944,Stabler Arena,6000,,,Lehigh Mountain Hawks
267,Loyola-Maryland,Patriot,Low,39.346825,-76.618647,Reitz Arena,3000,,,Loyola Maryland Greyhounds
268,Navy,Patriot,Low,38.984491,-76.487782,Alumni Hall,5710,,,Navy Midshipmen
269,Georgia Southwestern,Peach Belt Conference,Div II,32.054817,-84.217876,N/A,N/A,,,Georgia Southwestern Hurricanes
270,Alabama,SEC,High,33.202939,-87.539706,Coleman Coliseum,15383,,,Alabama Crimson Tide
271,Arkansas,SEC,High,36.06152,-94.178131,Bud Walton Arena,19368,,,Arkansas Razorbacks
272,Auburn,SEC,High,32.60253,-85.49301,Auburn Arena,9121,,,Auburn Tigers
273,Florida,SEC,High,29.649444,-82.351111,O'Connell Center,11548,,,Florida Gators
274,Georgia,SEC,High,33.9428,-83.378,Stegeman Coliseum,10523,,,Georgia Bulldogs
275,Kentucky,SEC,High,38.049444,-84.502778,Rupp Arena,23500,,,Kentucky Wildcats
276,LSU,SEC,High,30.4142,-91.1845,Pete Maravich Assembly Center,13215,,,LSU Tigers
277,Mississippi State,SEC,High,33.461667,-88.794444,Humphrey Coliseum,10500,,,Mississippi State Bulldogs
278,Missouri,SEC,High,38.93237,-92.33303,Mizzou Arena,15061,,2004,Missouri Tigers
279,Ole Miss,SEC,High,34.362197,-89.539303,Tad Smith Coliseum,9061,,,Ole Miss Rebels
280,South Carolina,SEC,High,33.995,-81.037222,Colonial Life Arena,18000,,2002,South Carolina Gamecocks
281,Tennessee,SEC,High,35.951167,-83.925028,Thompson–Boling Arena,21678,,,Tennessee Volunteers
282,Texas A&M,SEC,High,30.60578,-96.34619,Reed Arena,12989,,,Texas A&M Aggies
283,Vanderbilt,SEC,High,36.144611,-86.80742,Memorial Gymnasium,14316,,,Vanderbilt Commodores
284,Appalachian State,Southern,Low,36.210624,-81.675952,George M. Holmes Convocation Center,8325,,,Appalachian State Mountaineers
285,Chattanooga,Southern,Low,35.050382,-85.30091,McKenzie Arena,10928,,,Chattanooga Mocs
286,Elon,Southern,Low,36.103375,-79.505417,Alumni Gym,1607,,,Elon Phoenix
287,Furman,Southern,Low,34.917977,-82.437394,Timmons Arena,4000,,1998,Furman Paladins
288,Georgia Southern,Southern,Low,32.427644,-81.779147,Hanner Fieldhouse,4358,,,Georgia Southern Eagles
289,NC-Greensboro,Southern,Low,36.059722,-79.825556,Greensboro Coliseum Complex,23000,,,UNCG Spartans
290,Samford,Southern,Low,33.4638,-86.7973,Pete Hanna Center,4974,,,Samford Bulldogs
291,The Citadel,Southern,Low,32.798508,-79.962573,McAlister Field House,6000,,1939,Citadel Bulldogs
292,Western Carolina,Southern,Low,35.303752,-83.18234,Ramsey Center,7826,,,Western Carolina Catamounts
293,Wofford,Southern,Low,34.960278,-81.932778,Benjamin Johnson Arena,3500,,1981,Wofford Terriers
294,Davidson,Southern,Low,35.499278,-80.840521,John M. Belk Arena,5223,,,Davidson Wildcats
295,Abilene Christian,Southland,Low,32.470369,-99.709266,Moody Coliseum,4600,,1968,Abilene Christian
296,Central Arkansas,Southland,Low,35.081667,-92.459444,Farris Center,6000,,,Central Arkansas Bears
297,Houston Baptist,Southland,Low,29.695003,-95.516907,Sharp Gymnasium,1500,,,Houston Baptist Huskies
298,Incarnate Word,Southland,Low,29.468185,-98.469441,McDermott Center,2000,,1989,Incarnate Word Cardinals
299,Lamar,Southland,Low,30.043889,-94.070833,Montagne Center,10080,,,Lamar Cardinals
300,McNeese State,Southland,Low,30.136989,-93.211476,Burton Coliseum,8500,,1976,McNeese State Cowboys
301,New Orleans,Southland,Low,30.03,-90.050556,Lakefront Arena,10000,,1983,New Orleans Privateers
302,Nicholls State,Southland,Low,29.792346,-90.801283,Stopher Gym,3800,,1970,Nicholls Colonels
303,Northwestern State,Southland,Low,31.743912,-93.095162,Prather Coliseum,3900,,1964,Northwestern State Demons
304,Oral Roberts,Southland,Low,36.04789,-95.95573,Mabee Center,11300,,,Oral Roberts Golden Eagles
305,Sam Houston State,Southland,Low,30.712778,-95.546111,Bernard Johnson Coliseum,6110,,2010,Sam Houston State Bearkats
306,Southeastern Louisiana,Southland,Low,30.52,-90.472778,University Center,7500,,1982,Southeastern Louisiana Lions
307,Stephen F. Austin,Southland,Low,31.622222,-94.640833,William R. Johnson Coliseum,7203,,1974,Stephen F. Austin Lumberjacks
308,Texas A&M-Corpus Christi,Southland,High,30.60578,-96.34619,Reed Arena,12989,,,Texas A&M-Corpus Christi Islanders
309,Denver,Summit,Low,39.682106,-104.961592,Magness Arena,7200,,1999,Denver Pioneers
310,IPFW,Summit,Low,41.115556,-85.124444,Allen County War Memorial Coliseum,13000,,,IPFW Mastodons
311,IUPUI,Summit,Low,39.770556,-86.175,IUPUI Gymnasium,1215,,,IUPUI Jaguars
312,Nebraska Omaha,Summit,Low,41.206944,-96.026944,Ralston Arena,4691,,,Nebraska Omaha Mavericks
313,North Dakota State,Summit,Low,46.900442,-96.799025,Bison Sports Arena,6000,,,North Dakota State Bison
314,South Dakota,Summit,Low,42.791025,-96.919458,DakotaDome,10000,,1979,South Dakota Coyotes
315,South Dakota State,Summit,Low,44.317984,-96.779058,Frost Arena,6500,,1973,South Dakota State Jackrabbits
316,Western Illinois,Summit,Low,40.471589,-90.685201,Western Hall,5139,,,Western Illinois Leathernecks
317,Arkansas State,Sun Belt,Low,35.845422,-90.670319,Convocation Center,10563,,,Arkansas State Red Wolves
318,Arkansas-Little Rock,Sun Belt,Low,34.727778,-92.339722,Jack Stephens Center,5600,,2005,UALR Trojans
319,Georgia State,Sun Belt,Mid,33.751389,-84.386111,GSU Sports Arena,4500,,,Georgia State Panthers
320,Louisiana-Lafayette,Sun Belt,Low,30.218444,-92.039056,Cajundome,13500,,,Louisiana-Lafayette Ragin' Cajuns
321,Louisiana-Monroe,Sun Belt,Low,32.531,-92.069,Fant–Ewing Coliseum,7085,,1971,Louisiana-Monroe Warhawks
322,South Alabama,Sun Belt,Low,30.69229,-88.17975,Mitchell Center,10041,,,South Alabama Jaguars
323,Texas State,Sun Belt,Low,29.888611,-97.932778,Strahan Coliseum,7200,,1982,Texas State Bobcats
324,Texas-Arlington,Sun Belt,Low,32.730586,-97.107972,College Park Center,7000,,,UT Arlington Mavericks
325,Troy,Sun Belt,Low,31.797358,-85.953931,Trojan Arena,6000,,2010,Troy Trojans
326,Western Kentucky,Sun Belt,Low,36.985833,-86.4575,E. A. Diddle Arena,7500,,,Western Kentucky Hilltoppers
327,Alabama A&M,SWAC,Low,34.7852,-86.5752,Elmore Gymnasium,6000,,,Alabama A&M Bulldogs
328,Alabama State,SWAC,Low,32.36185,-86.293158,Dunn–Oliver Acadome,7400,,,Alabama State Hornets
329,Alcorn State,SWAC,Low,31.873225,-91.13318,Davey Whitney Complex,7000,,1975,Alcorn State Braves
330,Arkansas-Pine Bluff,SWAC,Low,34.243825,-92.017429,K. L. Johnson Complex,4500,,,UAPB Golden Lions
331,Grambling State,SWAC,Low,32.520284,-92.723578,Fredrick C. Hobdy Assembly Center,7500,,2007,Grambling State Tigers
332,Jackson State,SWAC,Low,32.299724,-90.211887,Williams Assembly Center,8000,,1981,Jackson State Tigers
333,Mississippi Valley State,SWAC,Low,33.512206,-90.343012,Harrison HPER Complex,5000,,,Mississippi Valley State Delta Devils
334,Prairie View A&M,SWAC,Low,30.09228,-95.993053,William Nicks Building,6500,,,Prairie View A&M Panthers
335,Southern,SWAC,Low,30.521667,-91.185556,F. G. Clark Center,7500,,,Southern University Jaguars
336,Texas Southern,SWAC,Low,29.722778,-95.365278,Health and Physical Education Arena,8100,,1989,Texas Southern Tigers
337,Cal State Bakersfield,WAC,Low,35.3475,-119.102778,Icardo Center,3800,,,Cal State Bakersfield Roadrunners
338,Chicago State,WAC,Low,41.716487,-87.608424,Emil and Patricia Jones Convocation Center,7000,,,Chicago State Cougars
339,Grand Canyon,WAC,Low,33.509,-112.129,GCU Arena,5000,,2011,Grand Canyon Antelopes
340,Idaho,WAC,Low,46.726389,-117.018056,Kibbie Dome,7000,,1975,Idaho Vandals
341,New Mexico State,WAC,Low,32.284,-106.7422,Pan American Center,12482,,,New Mexico State Aggies
342,Seattle,WAC,Low,47.622222,-122.354167,KeyArena,17072,,1962,Seattle Redhawks
343,Texas-Pan American,WAC,Low,26.310377,-98.177927,UTPA Fieldhouse,4000,,1969,Texas-Pan American Broncs
344,UMKC,WAC,Low,39.035399,-94.578799,Swinney Recreation Center,1500,,1940,UMKC Kangaroos
345,Utah Valley,WAC,Low,40.278724,-111.716956,UCCU Center,8500,,,Utah Valley Wolverines
346,Brigham Young,WCC,Mid,40.254167,-111.649444,Marriott Center,20900,,1971,BYU Cougars
347,Gonzaga,WCC,Mid,47.66532,-117.39919,McCarthey Athletic Center,6000,,,Gonzaga Bulldogs
348,Loyola Marymount,WCC,Mid,33.9675,-118.415556,Gersten Pavilion,4156,,,Loyola Marymount Lions
349,Pepperdine,WCC,High,34.038571,-118.709625,Firestone Fieldhouse,3104,,,Pepperdine Waves
350,Portland,WCC,Mid,45.575,-122.728333,Chiles center,4852,,,Portland Pilots
351,San Diego,WCC,Mid,32.774482,-117.183694,Jenny Craig Pavilion,5100,,2000,San Diego Toreros
352,San Francisco,WCC,Low,37.776944,-122.449444,War Memorial Gymnasium,5300,,1958,San Francisco Dons
353,Santa Clara,WCC,Mid,37.349111,-121.935303,Leavey Center,4500,,1975,Santa Clara Broncos
354,St. Mary's,WCC,Mid,37.841247,-122.106409,McKeon Pavilion,3500,,,Saint Mary's Gaels
