ID,SCHOOL,CONFERENCE,CONFERENCE WEIGHT,ARENA LOCATION LAT,LON,ARENA NAME,ARENA CAPACITY,TEAM ABBREVIATION,ARENA OPENED,FULL NAME
173,Niagara,MAAC,Low,43.137035,-79.038026,Gallagher Center,2400,,,Niagara Purple Eagles
174,Quinnipiac,MAAC,Low,41.420101,-72.894056,TD Bank Sports Center,3570,,,Quinnipiac Bobcats
175,Rider,MAAC,Low,40.2788,-74.7354,Alumni Gymnasium,1950,,,Rider Broncs
176,Siena,MAAC,Low,42.648611,-73.754722,Times Union Center,15229,,,Siena Saints
177,St. Peter's,MAAC,Low,40.727648,-74.073173,Yanitelli Center,3200,,1975,Saint Peter's Peacocks
178,Akron,MAC,Low,41.075833,-81.508611,James A. Rhodes Arena,5500,,,Akron Zips
179,Ball State,MAC,Low,40.206944,-85.406111,John E. Worthen Arena,11500,,,Ball State Cardinals
180,Bowling Green,MAC,Low,41.375231,-83.626428,Stroh Center,4700,,,Bowling Green Falcons
181,Buffalo,MAC,Low,42.999167,-78.7775,Alumni Arena,6100,,,Buffalo Bulls
182,Central Michigan,MAC,Low,43.580888,-84.773941,McGuirk Arena,5300,,,Central Michigan Chippewas
183,Eastern Michigan,MAC,Low,42.254444,-83.647222,Convocation Center,8824,,,Eastern Michigan Eagles
184,Kent State,MAC,Low,41.148,-81.344,Memorial Athletic and Convocation Center,6327,,,Kent State Golden Flashes
185,Miami (OH),MAC,Low,39.517236,-84.734544,Millett Hall,6400,,,Miami (OH) RedHawks
186,Northern Illinois,MAC,Low,41.935106,-88.785569,Convocation Center,10000,,,Northern Illinois Huskies
187,Ohio,MAC,Low,39.323056,-82.105556,Convocation Center,13080,,,Ohio Bobcats
188,Toledo,MAC,Low,41.660232,-83.609795,Savage Arena,7300,,,Toledo Rockets
189,Western Michigan,MAC,Low,42.283372,-85.60845,University Arena,5421,,,Western Michigan Broncos
190,Bethune-Cookman,MEAC,Low,29.210895,-81.030977,Moore Gymnasium,3000,,,Bethune-Cookman Wildcats
191,Coppin State,MEAC,Low,39.315453,-76.657381,Physical Education Complex,4100,,,Coppin State Eagles
192,Delaware State,MEAC,Low,39.1876,-75.5434,Memorial Hall,3000,,,Delaware State Hornets
193,Florida A&M,MEAC,Low,30.424318,-84.290473,Teaching Gym,9639,,,Florida A&M Rattlers
194,Hampton,MEAC,Low,37.01974,-76.33108,Hampton Convocation Center,7200,,,Hampton Pirates
195,Howard,MEAC,Low,38.9264,-77.0221,Burr Gymnasium,2700,,,Howard Bison
196,Maryland-Eastern Shore,MEAC,Low,38.211184,-75.687227,Hytche Athletic Center,5500,,,Maryland Eastern Shore Hawks
197,Morgan State,MEAC,Low,39.342454,-76.585318,Hill Field House,4500,,,Morgan State Bears
198,Norfolk State,MEAC,Low,36.847999,-76.258157,Joseph G. Echols Memorial Hall,7000,,1982,Norfolk State Spartans
199,North Carolina A&T,MEAC,Low,36.076783,-79.768849,Corbett Sports Center,5700,,1978,North Carolina A&T Aggies
200,North Carolina Central,MEAC,Low,35.975884,-78.897745,McLendon–McDougald Gymnasium,3056,,,North Carolina Central Eagles
201,Savannah State,MEAC,Low,32.023759,-81.06583,Tiger Arena,6000,,2000,Savannah State Tigers
202,South Carolina State,MEAC,Low,33.500979,-80.846522,SHM Memorial Center,3200,,1968,South Carolina State Bulldogs
203,Bradley,MVC,Mid,40.6925,-89.594167,Peoria Civic Center,11164,,,Bradley Braves
204,Drake,MVC,Mid,41.604444,-93.651944,Knapp Center,7152,,,Drake Bulldogs
205,Evansville,MVC,Mid,37.972189,-87.567844,Ford Center,10000,,,Evansville Aces
206,Illinois State,MVC,Mid,40.510606,-88.999011,Redbird Arena,10200,,,Illinois State Redbirds
207,Indiana State,MVC,Mid,39.468333,-87.405,Hulman Center,10200,Indiana State,,Indiana State Sycamores
208,Loyola-Chicago,MVC,Low,42.000556,-87.658889,Joseph J. Gentile Arena,4486,,,Loyola Chicago Ramblers
209,Missouri State,MVC,Mid,37.202047,-93.283058,JQH Arena,11000,,,Missouri State Bears
